period,n_total,f_statistic,vintage,vintage_month,current_holdings,next_q_holdings,expected_change_pct,expected_direction
2021-12,3,-1.0,DEC21,2021-12,4909.855,5154.308999999999,4.978843570736808,increase
2022-04,2,-1.0,APR22,2022-04,5070.4445,5160.3445,1.773020097153229,increase
2022-06,5,-1.0,JUN22,2022-06,5156.38,5156.625,0.004751395358757323,increase
2022-09,4,-1.0,SEP22,2022-09,5154.508,5154.508,0.0,decrease
2022-10,9,-1.0,OCT22,2022-10,5147.0,5147.0,0.0,decrease
2022-12,7,-1.0,DEC22,2022-12,5147.0,5147.0,0.0,decrease
2023-02,2,-1.0,FEB23,2023-02,5133.0,5088.0,-0.8766803039158386,decrease
2023-03,8,-1.0,MAR23,2023-03,5133.0,5088.0,-0.8766803039158386,decrease
2023-06,3,-1.0,JUN23,2023-06,5086.0,5016.0,-1.376327172630751,decrease
2023-07,2,-1.0,JUL23,2023-07,5016.0,4937.0,-1.5749601275917064,decrease
2023-09,2,-1.0,SEP23,2023-09,5016.0,4937.0,-1.5749601275917064,decrease
2023-10,3,-1.0,OCT23,2023-10,4936.0,4846.0,-1.8233387358184763,decrease
2023-12,6,-1.0,DEC23,2023-12,4935.0,4846.0,-1.8034447821681863,decrease
2024-01,2,-1.0,JAN24,2024-01,4847.0,4753.0,-1.9393439240767485,decrease
2024-03,15,-0.6,MAR24,2024-03,4847.0,4753.0,-1.9393439240767485,decrease
2024-04,5,-1.0,APR24,2024-04,4847.0,4753.0,-1.9393439240767485,decrease
2024-06,6,-1.0,JUN24,2024-06,4753.0,4660.0,-1.95665895224069,decrease
2024-07,7,-1.0,JUL24,2024-07,4753.0,4660.0,-1.95665895224069,decrease
2025-03,4,0.0,MAR25,2025-03,4402.0,4265.0,-3.112221717401181,decrease
2025-06,11,-1.0,JUN25,2025-06,4256.0,4154.0,-2.3966165413533833,decrease
2025-07,2,-1.0,JUL25,2025-07,4255.0,4154.0,-2.3736780258519388,decrease
